itemId,itemName,itemGrade,itemCategory,iconKey,maxStack
1102,거미 독액,Common,RawMaterial,1102,50
1103,점액,Common,RawMaterial,1103,50
1104,눈알 조각,Common,RawMaterial,1104,50
1106,늑대 송곳니,Common,RawMaterial,1106,50
1201,회복 앰플 젤,Advanced,ProcessedTier1,1201,30
1202,공격 앰플 젤,Advanced,ProcessedTier1,1202,30
1203,방어 앰플 젤,Advanced,ProcessedTier1,1203,30
1205,스태미나 앰플 젤,Advanced,ProcessedTier1,1205,30
2209,농축 골질,Advanced,ProcessedTier1,2203,30
1204,야수 활성액,Advanced,ProcessedTier1,1204,30
1301,생체 배양액,Rare,ProcessedTier2,1301,20
2101,고철 덩어리,Common,RawMaterial,2101,50
2102,구리선 다발,Common,RawMaterial,2102,50
2103,낡은 회로판,Common,RawMaterial,2103,50
2107,유리 렌즈,Common,RawMaterial,2107,50
2201,에너지 코어,Advanced,ProcessedTier1,2201,30
2203,금속 주괴,Advanced,ProcessedTier1,2203,30
2204,전도 부품,Advanced,ProcessedTier1,2204,30
2208,광학 렌즈,Advanced,ProcessedTier1,2208,30
2301,초전도 셀,Rare,ProcessedTier2,2301,20
3101,부식액,Common,RawMaterial,3101,50
3104,질긴 섬유,Common,RawMaterial,3104,50
3107,화학 촉매,Advanced,ProcessedTier1,3107,30
4101,나뭇가지,Common,RawMaterial,4101,50
4202,거미 독 배양체,Common,ProcessedTier1,4202,30
4203,점액 배양체,Common,ProcessedTier1,4203,30
4204,눈알 배양체,Common,ProcessedTier1,4204,30
4205,부식액 배양체,Common,ProcessedTier1,4205,30
5101,초급 회복 앰플,Advanced,TacticalConsumable,5101,10
5102,중급 회복 앰플,Rare,TacticalConsumable,5102,10
5103,고급 회복 앰플,Hero,TacticalConsumable,5103,10
5105,초급 공격력 앰플,Advanced,TacticalConsumable,5105,10
5106,중급 공격력 앰플,Rare,TacticalConsumable,5106,10
5107,고급 공격력 앰플,Hero,TacticalConsumable,5107,10
5104,초급 방어력 앰플,Advanced,TacticalConsumable,5104,10
5108,중급 방어력 앰플,Rare,TacticalConsumable,5108,10
5109,고급 방어력 앰플,Hero,TacticalConsumable,5109,10
5111,초급 스태미나 앰플,Advanced,TacticalConsumable,5111,10
5112,중급 스태미나 앰플,Rare,TacticalConsumable,5112,10
5113,고급 스태미나 앰플,Hero,TacticalConsumable,5113,10
6101,코어 키트 I,Hero,CoreUpgrade,6101,5
6102,코어 키트 II,Hero,CoreUpgrade,6102,5
6103,코어 키트 III,Hero,CoreUpgrade,6103,5
6104,코어 키트 IV,Hero,CoreUpgrade,6104,5
6105,코어 키트 V,Hero,CoreUpgrade,6105,5
7101,코어 결정,Legend,Special,7101,1
8101,자연 시간 에너지 조각,Advanced,RawMaterial,8101,10
8102,설원 시간 에너지 조각,Advanced,RawMaterial,8102,10
8103,사막 시간 에너지 조각,Advanced,RawMaterial,8103,10
8104,용암 시간 에너지 조각,Advanced,RawMaterial,8104,10
8201,빈 시간 키트,Advanced,ProcessedTier1,8201,5
8301,자연 충전 키트,Hero,Special,8301,5
8302,설원 충전 키트,Hero,Special,8302,5
8303,사막 충전 키트,Hero,Special,8303,5
8304,용암 충전 키트,Hero,Special,8304,5
8401,자연 특수 충전 키트,Legend,Special,8401,1
8402,설원 특수 충전 키트,Legend,Special,8402,1
8403,사막 특수 충전 키트,Legend,Special,8403,1
8404,용암 특수 충전 키트,Legend,Special,8404,1
8501,녹빛 시간핵,Hero,Special,8501,1
8502,서리 시간핵,Hero,Special,8502,1
8503,모래 시간핵,Hero,Special,8503,1
8504,잿불 시간핵,Hero,Special,8504,1
8601,열쇠,Hero,Special,8601,1
2104,화산암 파편,Common,RawMaterial,2104,50
2202,에너지 축전지,Advanced,ProcessedTier1,2202,30
2206,복합 장갑판,Advanced,ProcessedTier1,2206,30
3102,포자 응축액,Common,RawMaterial,3102,50
3105,가열 반응 셀,Advanced,ProcessedTier1,3105,30
3108,용암 응결정,Common,RawMaterial,3108,50
1105,뼛조각,Common,RawMaterial,1105,50
2302,강화 골격,Rare,ProcessedTier2,2302,20
2303,지구력 코어,Rare,ProcessedTier2,2303,20
3201,과열 촉진액,Rare,ProcessedTier2,3201,20
4206,골질 배양체,Common,ProcessedTier1,4206,30
4207,송곳니 배양체,Common,ProcessedTier1,4207,30
